"General Settings","Paramètres généraux"
"Enable Additional Image","Activer une image supplémentaire"
"Allows you to add a second image to product attribute option.","Permet d'ajouter une image supplémentaire aux options."
"Additional Image","Image supplémentaire"
"The following stores are deliberately hidden: %s.","Les vues magasins suivantes sont volontairement cachées : %s."
"Go to ""System > Configuration > Bubble AttributeOptionPro"" to display them.","Rendez-vous dans ""Système > Configuration > Bubble AttributeOptionPro"" pour les afficher à nouveau."
"Attribute Image","Image de l'attribut"
"Associate an image to this attribute that you can display anywhere in frontend","Image associée à l'attribut, elle pourra être affichée n'importe où sur le site"
