"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","msrp","status","visibility","tax_class_id","is_featured_product","universal_categories","cap_snap_color","description","short_description","meta_keyword","custom_layout_update","design","shipping_details","searchindex_weight","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","weight","is_recurring","recurring_profile"
"admin","base","Snap Backs with Font Style","configurable","52","Snap-Backs-Test-News","1","Snap Backs MZ","","","/b/r/brown_4.jpg","/b/r/brown_4.jpg","/b/r/brown_4.jpg","snap-backs-test-news","snap-backs-test-news.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","20.0000","","","Enabled","Catalog, Search","None","0","","","Snap Backs MZ","Snap Backs MZ","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs MZ","0","configurable","","","","",""
"admin","base","Snap Backs with Font Style","simple","","Snap-Backs-MZ-Gold","0","Snap Backs MZ-Gold","","","/m/z/mz_-_gold_2.png","/m/z/mz_-_gold_2.png","/m/z/mz_-_gold_2.png","snap-backs-mz-gold","snap-backs-mz-gold.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","50.0000","","","Enabled","Not Visible Individually","None","0","","Gold","Snap Backs MZ-Gold","Snap Backs MZ-Gold","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs MZ-Gold","0","simple","","","0.0000","No",""
"admin","base","Snap Backs with Font Style","simple","","Snap-Backs-MZ-Black","0","Snap Backs MZ-Black","","","/n/e/newimage.jpg","/n/e/newimage.jpg","/n/e/newimage.jpg","snap-backs-mz-black","snap-backs-mz-black.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","20.0000","","","Enabled","Not Visible Individually","None","0","","Black","Snap Backs MZ-Black","Snap Backs MZ-Black","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","50.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs MZ-Black","0","simple","","","1.0000","No",""
"admin","base","Snap Backs with Font Style","simple","","Snap-Backs-MZ-White","0","Snap Backs MZ-White","","","/m/z/mz_-_white_2.png","/m/z/mz_-_white_2.png","/m/z/mz_-_white_2.png","snap-backs-mz-white","snap-backs-mz-white.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","20.0000","","","Enabled","Not Visible Individually","None","0","","White","Snap Backs MZ-White","Snap Backs MZ-White","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","50.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs MZ-White","0","simple","","","1.0000","No",""
"admin","base","Snap Backs with Font Style","configurable","52","Snap-Backs-Test-News-sa","1","Snap Backs SA","","","","","","snap-backs-sa","snap-backs-sa.html","","No layout updates","Product Info Column","/","/","/"," ","Use config","Use config","No","20.0000","","","Enabled","Catalog, Search","None","0","","","Snap Backs SA","Snap Backs SA","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs SA","0","configurable","","","","",""
"admin","base","Snap Backs with Font Style","simple","","Snap-Backs-Test-News-sa-Black","0","Snap Backs SA-Black","","","","","","snap-backs-sa-black","snap-backs-sa-black.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","20.0000","","","Enabled","Not Visible Individually","None","0","","Black","Snap Backs SA","Snap Backs SA","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs SA-Black","0","simple","","","1.0000","No",""
"admin","base","Snap Backs with Font Style","simple","","Snap-Backs-Test-News-sa-Gold","0","Snap Backs SA-Gold","","","","","","snap-backs-sa-gold","snap-backs-sa-gold.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","20.0000","","","Enabled","Not Visible Individually","None","0","","Gold","Snap Backs SA","Snap Backs SA","","","100% Cotton<br>
Knit<br>
Hand Wash Cold Inside Out<br>
Wash separately<br>
Do not bleach or dry clean<br>
Use warm Iron on reverse (Do not Iron on print image) <br>
Do not leave in Direct sunlight<br>
Flat dry in shade""<br>","FREE shipping on all orders over AED 118 (within United Arab Emirates).<br>
FREE Shipping on all order over SAR 250 (with Saudi Arabia)<br>
Flat Rate on All orders within Qatar, Kuwait, Bahrain & Oman of AED 50<br>
Flat Rate on International Shipping of AED 80.<br>
Please see Return and Exchange policy.<br>","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Snap Backs SA-Gold","0","simple","","","1.0000","No",""
